branch_id_1	branch_id_2	branch_id_3	branch_id_4	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	N_sub_3	N_sub_4	S_sub_1	S_sub_2	S_sub_3	S_sub_4	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
10	23	41	85	0.3233	15	4	0	1	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	13458.1474	1.0025	2080442.6713	6.2572	2.5839	499.4859	14733.7058	0.8527	2308937.2344	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13510.5813		-0.0000	0.0000	17.9840	2.9893	3.0000	3.9948	19.5942	2.0138	3.0000	3.6377	2.8659	0.0002	2.8657	0.0001	0.0000	0.0001	2.8658	0.0002	2.8656	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000
10	23	48	61	0.3233	15	4	0	1	2	0	0	0	1	0	3	2	4	0	0	0	0	0	0	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	0.0000	inf	9361.4680	0.0009	1434445.2700	2.5506	0.0106	385.7681	10259.4587	0.0000	1573390.7667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10188468.6060		0.0002	0.0000	17.9840	2.9893	3.0031	5.9980	19.5942	2.0138	6.6616	5.1713	2.8853	0.0000	2.8853	0.0001	0.0000	0.0001	2.8853	0.0000	2.8853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0002	0.0001	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000
10	23	48	85	0.3233	13	4	0	0	2	0	0	0	1	0	2	2	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	14016.6196	1.0455	2152617.4530	5.4572	2.2547	652.3781	15636.7802	0.9055	2335726.5599	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13492.9492		-0.0000	0.0000	17.9840	2.9893	3.0031	3.9948	19.5942	2.0138	6.6616	3.6377	2.8642	0.0002	2.8640	0.0001	0.0000	0.0001	2.8641	0.0002	2.8640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0003	0.0003	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000
10	23	48	101	0.3233	12	4	0	1	2	1	0	1	1	0	2	2	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	11432.9920	0.5202	2041421.4251	1.7120	0.6089	416.8529	14488.1412	0.4964	2267692.4457	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22100.4454		0.0000	0.0000	17.9840	2.9893	3.0031	4.2449	19.5942	2.0138	6.6616	1.5656	2.8707	0.0001	2.8706	0.0001	0.0000	0.0001	2.8706	0.0001	2.8705	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0002	0.0000	0.0001	0.0001	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	23	61	85	0.3233	15	4	0	1	1	0	0	0	0	0	2	1	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	6788.7955	0.5058	1031126.5383	2.8976	1.1008	329.2238	7561.5916	0.4379	1126935.3005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13510.7810		-0.0000	-0.0000	17.9840	2.9893	5.9980	3.9948	19.5942	2.0138	5.1713	3.6377	2.8635	0.0002	2.8633	0.0001	0.0000	0.0001	2.8634	0.0002	2.8632	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0003	0.0003	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000
10	23	85	101	0.3233	13	4	0	1	1	1	0	1	0	0	1	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	8130.8558	0.9746	1442996.3611	2.1731	1.1670	386.1582	10056.5353	0.9289	1583640.2417	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8388.7725		-0.0002	0.0000	17.9840	2.9893	3.9948	4.2449	19.5942	2.0138	3.6377	1.5656	2.8491	0.0003	2.8488	0.0001	0.0001	0.0001	2.8490	0.0003	2.8487	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0003	0.0000	0.0001	0.0001	0.0000	0.0003	0.0003	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000
10	35	48	85	0.2764	13	4	0	1	1	0	0	0	1	0	2	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	8591.7194	0.6418	1346798.7423	4.2502	1.6102	626.4186	9435.2113	0.5464	1431572.8658	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13472.1670		-0.0000	0.0000	17.9840	4.9740	3.0031	3.9948	19.5942	7.7857	6.6616	3.6377	2.8672	0.0002	2.8670	0.0001	0.0000	0.0001	2.8671	0.0002	2.8669	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0007	0.0007	0.0000	0.0004	0.0004	0.0000	0.0003	0.0003	0.0000
10	39	48	85	0.2764	13	4	0	1	1	1	0	1	1	1	2	2	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	3400.1423	0.2536	532138.7491	1.1749	0.6459	136.0748	3727.3682	0.2157	562318.0649	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13494.1143		-0.0000	0.0000	17.9840	12.9847	3.0031	3.9948	19.5942	24.7324	6.6616	3.6377	2.8682	0.0002	2.8680	0.0001	0.0000	0.0000	2.8681	0.0002	2.8679	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0008	0.0000	0.0001	0.0001	0.0000	0.0008	0.0008	0.0000	0.0019	0.0018	0.0001	0.0010	0.0010	0.0000	0.0009	0.0008	0.0001
10	41	48	85	0.2764	15	4	0	1	1	0	0	1	1	0	2	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	14281.6274	1.0654	2181386.5925	4.7594	2.6266	344.9903	15714.3068	0.9087	2388643.7701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13491.9552		-0.0000	0.0000	17.9840	3.0000	3.0031	3.9948	19.5942	3.0000	6.6616	3.6377	2.8743	0.0002	2.8741	0.0001	0.0000	0.0000	2.8743	0.0002	2.8741	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0003	0.0003	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000
10	48	61	85	0.3061	15	4	0	1	1	0	0	0	1	0	3	1	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	7224.6201	0.5390	1098714.9376	3.1485	1.5619	278.0599	7830.9291	0.4530	1178349.3493	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13492.1715		-0.0000	-0.0000	17.9840	3.0031	5.9980	3.9948	19.5942	6.6616	5.1713	3.6377	2.8720	0.0002	2.8717	0.0001	0.0000	0.0000	2.8719	0.0002	2.8717	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0005	0.0005	0.0000	0.0004	0.0004	0.0000	0.0002	0.0001	0.0000
10	48	85	101	0.2764	13	4	0	1	1	1	0	1	1	0	2	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	8615.3591	1.0335	1523069.8177	1.8158	1.2156	270.4965	10718.0332	0.9888	1650685.4358	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8382.7835		-0.0002	0.0000	17.9840	3.0031	3.9948	4.2449	19.5942	6.6616	3.6377	1.5656	2.8575	0.0003	2.8571	0.0001	0.0001	0.0000	2.8573	0.0003	2.8571	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0001	0.0001	0.0000	0.0003	0.0003	0.0000	0.0003	0.0003	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000
23	35	48	85	0.1609	9	4	0	1	2	0	0	0	1	0	1	2	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	49277.4351	3.6945	7617432.5835	26.9859	10.5678	5967.3370	53590.7317	3.0901	7887875.9155	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13424.0168		-0.0000	0.0000	2.9893	4.9740	3.0031	3.9948	2.0138	7.7857	6.6616	3.6377	2.9552	0.0002	2.9550	0.0001	0.0001	0.0001	2.9551	0.0002	2.9549	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000
23	39	48	85	0.1972	11	4	0	1	2	1	0	1	1	1	1	3	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	19368.3113	1.4497	3025618.7258	6.4500	3.6382	603.9711	21323.4160	1.2283	3243230.3872	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13445.2717		-0.0000	-0.0000	2.9893	12.9847	3.0031	3.9948	2.0138	24.7324	6.6616	3.6377	2.9559	0.0002	2.9557	0.0001	0.0001	0.0000	2.9559	0.0002	2.9557	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0003	0.0003	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000
23	41	48	85	0.2222	15	4	0	1	2	0	0	1	1	0	1	2	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	81328.7126	6.0894	12356164.4527	28.9312	16.3457	2594.9895	88977.7558	5.1226	13197615.3955	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13443.2990		-0.0000	0.0000	2.9893	3.0000	3.0031	3.9948	2.0138	3.0000	6.6616	3.6377	2.9625	0.0002	2.9622	0.0001	0.0001	0.0000	2.9624	0.0002	2.9622	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	48	61	85	0.1277	9	4	0	1	2	0	0	0	1	0	2	2	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	39689.8163	2.9718	5982244.3871	23.5397	11.9685	2783.6702	42096.7727	2.4245	6205549.8246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13443.4564		-0.0000	-0.0000	2.9893	3.0031	5.9980	3.9948	2.0138	6.6616	5.1713	3.6377	2.9600	0.0002	2.9597	0.0001	0.0001	0.0000	2.9598	0.0002	2.9597	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
23	48	85	101	0.1983	12	4	0	1	2	1	0	1	1	0	1	2	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	49234.9114	5.9201	8441218.7654	13.7054	9.3526	1371.3561	57958.2392	5.3099	9200084.9858	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8364.3057		-0.0002	0.0000	2.9893	3.0031	3.9948	4.2449	2.0138	6.6616	3.6377	1.5656	2.9447	0.0004	2.9444	0.0001	0.0001	0.0000	2.9446	0.0003	2.9443	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
