branch_id_1	branch_id_2	branch_id_3	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	N_sub_3	S_sub_1	S_sub_2	S_sub_3	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
3	10	72	0.1396	5	3	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	10.9181	0.0004	5881741.1107	3.9940	0.0006	1246799.4534	3429.5521	0.0008	12752035.6462	4.0524	0.0002	160.0686	5.2460	0.0008	1243.6582	3.6964	0.0000	116.9373	0.3712	0.4735	0.0000	1.3135	1.3321	0.0010	0.0011	0.0015	0.0000	23368.1517	0.0000	0.9975	-0.0000	32.4610	31.3712	50.6850	23.3388	15.5316	42.8259	2.9224	0.0001	2.9222	0.8693	0.0001	0.8691	2.0531	0.0000	2.0531	0.0807	0.0807	0.0000	0.0805	0.0805	0.0000	0.0002	0.0002	0.0000	0.7211	0.7029	0.0183	0.1657	0.1650	0.0007	0.5554	0.5379	0.0176	0.2174	0.1704	0.0470	0.0613	0.0605	0.0009	0.1561	0.1100	0.0461
3	45	72	0.2678	16	3	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	69.2770	0.1330	5149.0204	0.0148	0.0102	24.6900	558.5979	45714.0049	5379.5105	2.2946	0.0049	101.1114	0.0013	0.0010	0.0519	3.2965	0.0066	112.3604	0.0331	0.0366	0.0196	0.0899	0.0937	0.0021	0.0059	0.0000	0.0209	481.4777	0.1380	0.3375	0.0005	32.4610	25.9403	50.6850	23.3388	9.4857	42.8259	0.9947	0.0021	0.9926	0.0002	0.0001	0.0001	0.9945	0.0019	0.9926	0.0040	0.0035	0.0005	0.0035	0.0035	0.0000	0.0005	0.0000	0.0005	0.4335	0.4237	0.0098	0.1318	0.1308	0.0010	0.3017	0.2929	0.0088	0.1205	0.0958	0.0246	0.0391	0.0374	0.0016	0.0814	0.0584	0.0230
3	49	72	0.2130	8	3	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0287	0.0239	0.0000	0.0537	0.0525	0.0000	30.7210	85.1645	0.0000	0.0004	0.0004	0.0000	0.0018	0.0018	0.0000	0.0000	0.0000	0.0000	0.0126	0.0155	0.0000	0.0337	0.0347	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	-0.0000	32.4610	9.2436	50.6850	23.3388	4.8194	42.8259	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0009	0.0009	0.0000	0.0009	0.0009	0.0000	0.0000	0.0000	0.0000	0.1968	0.1919	0.0049	0.0383	0.0380	0.0003	0.1586	0.1539	0.0047	0.0704	0.0572	0.0133	0.0263	0.0255	0.0008	0.0442	0.0317	0.0125
3	72	83	0.2744	14	3	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	122.4227	0.9549	162309.3435	1.3547	1.3047	96.7973	2687.3927	1.2229	174319.8900	2.2211	0.0220	94.1503	0.0788	0.0789	0.0538	2.9696	0.0016	101.3613	0.0181	0.0230	0.0006	0.0581	0.0605	0.0006	0.0011	0.0013	0.0006	102.4709	0.0070	0.3148	0.0000	32.4610	50.6850	25.5761	23.3388	42.8259	15.6253	0.9489	0.0092	0.9397	0.0087	0.0087	0.0000	0.9402	0.0005	0.9397	0.0024	0.0024	0.0000	0.0023	0.0023	0.0000	0.0001	0.0001	0.0000	0.4272	0.4172	0.0100	0.1106	0.1099	0.0007	0.3166	0.3073	0.0093	0.1306	0.1022	0.0284	0.0390	0.0375	0.0015	0.0916	0.0648	0.0269
10	45	81	0.2474	16	3	0	1	1	0	0	1	1	0	1	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0025	0.0001	110.3250	0.0001	0.0001	0.5659	29.5907	0.0001	11038434.7621	0.0230	0.0009	0.9409	0.0036	0.0031	0.0744	0.0308	0.0000	1.0204	9.0696	11.3724	0.0085	28.5973	29.8274	0.1316	0.0010	0.0014	0.0000	24.8254	0.0002	0.0027	-0.0002	31.3712	25.9403	45.6006	15.5316	9.4857	26.0637	0.0089	0.0003	0.0086	0.0004	0.0003	0.0001	0.0085	0.0000	0.0085	0.7268	0.7267	0.0001	0.7268	0.7266	0.0001	0.0001	0.0001	0.0000	0.3879	0.3787	0.0091	0.1108	0.1101	0.0008	0.2770	0.2687	0.0084	0.0801	0.0639	0.0162	0.0254	0.0244	0.0011	0.0547	0.0395	0.0152
11	48	64	0.0608	5	3	0	1	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	30743.9811	24262.2928	154746.8213	14946.1600	15095.2910	inf	4885500.0483	inf	179992.9214	3.3851	3.4998	0.2390	6.2758	6.3585	0.0001	2.3295	2.4229	0.2652	0.0001	0.0001	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	0.0025	0.0034	-0.3592	0.0000	22.0724	16.8223	29.6553	13.1585	8.8888	16.9081	0.5475	0.5461	0.0014	0.2715	0.2715	0.0000	0.2760	0.2746	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1617	0.1560	0.0057	0.0433	0.0427	0.0006	0.1185	0.1133	0.0051	0.0479	0.0364	0.0115	0.0125	0.0125	0.0000	0.0354	0.0240	0.0114
22	45	95	0.1476	7	3	0	1	1	0	0	0	1	1	1	3	2	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	897.7147	79.7411	42661140.9542	106.9692	102.0267	820239.1655	676495.5396	949.7143	48198682.9800	3.6995	0.4214	114.2265	1.8134	1.7752	6.2122	4.2610	0.0074	122.1648	0.0041	0.0053	0.0000	0.0170	0.0174	0.0000	0.0000	0.0000	0.0000	8.0405	0.0001	0.2512	-0.0000	51.9637	25.9403	19.2810	29.0964	9.4857	11.9466	1.0884	0.1204	0.9680	0.1224	0.1188	0.0036	0.9660	0.0016	0.9644	0.0003	0.0003	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.2942	0.2857	0.0085	0.0675	0.0669	0.0006	0.2267	0.2188	0.0079	0.0735	0.0573	0.0162	0.0178	0.0174	0.0005	0.0556	0.0399	0.0157
22	48	95	0.1217	7	3	0	1	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	602.4270	474.0214	5923.5422	539.4936	536.1924	17153.0541	1607.2667	2592.8069	6233.8121	0.4374	0.4099	1.2374	1.0999	1.1051	0.8119	0.1467	0.0976	1.3197	0.0007	0.0009	0.0002	0.0020	0.0021	0.0000	0.0001	0.0000	0.0002	0.1041	0.0647	-0.0584	0.0000	51.9637	16.8223	19.2810	29.0964	8.8888	11.9466	0.1036	0.0938	0.0098	0.0794	0.0784	0.0010	0.0241	0.0154	0.0087	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2367	0.2289	0.0079	0.0722	0.0709	0.0013	0.1645	0.1579	0.0066	0.0708	0.0559	0.0150	0.0231	0.0228	0.0003	0.0477	0.0330	0.0147
22	83	95	0.1217	7	3	0	1	0	0	0	0	0	1	2	3	2	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	18426.3355	8486.2064	1758989.4882	1433.7285	1438.1875	inf	269848.2751	215281.3578	1987513.6754	6.8775	3.8860	99.2331	1.7617	1.7908	0.0090	8.5834	4.5991	114.0963	0.0004	0.0005	0.0001	0.0012	0.0012	0.0000	0.0000	0.0000	0.0001	0.8272	0.0329	-0.4512	0.0000	51.9637	25.5761	19.2810	29.0964	15.6253	11.9466	2.1909	1.1991	0.9918	0.1403	0.1403	0.0000	2.0506	1.0588	0.9918	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3186	0.3086	0.0100	0.0797	0.0784	0.0013	0.2389	0.2302	0.0087	0.1000	0.0789	0.0211	0.0285	0.0282	0.0004	0.0715	0.0508	0.0207
26	48	64	0.0879	4	3	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	194.8400	66.8346	13957.1118	22.0040	21.0606	332782.2897	6883.4588	4029.9062	14756.9536	3.9057	1.7025	25.6022	1.6869	1.6464	4.0909	5.9878	1.7644	27.6541	0.0200	0.0255	0.0018	0.0767	0.0782	0.0000	0.0009	0.0004	0.0019	1.5270	0.0215	-0.0846	0.0000	30.5131	16.8223	29.6553	27.8050	8.8888	16.9081	1.5569	0.6161	0.9408	0.3255	0.3125	0.0131	1.2313	0.3036	0.9277	0.0014	0.0014	0.0000	0.0014	0.0014	0.0000	0.0000	0.0000	0.0000	0.3986	0.3619	0.0367	0.1930	0.1898	0.0032	0.2056	0.1721	0.0335	0.0714	0.0550	0.0164	0.0181	0.0177	0.0003	0.0534	0.0373	0.0161
