branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
0	4	0.3282	16	2	1	1	0	1	1	1	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	5.2280	186.2586	0.0022	0.8383	35.6292	0.0004	2617.9116	9742.7797	1.5536	5.1595	6.0598	0.0056	2.3716	2.5139	0.0053	5.5068	6.5558	0.0057	0.9869	0.0325	2.5458	2.8291	0.0706	14.7242	0.0021	0.0007	0.0036	0.0002	47.9068	-0.6380	0.4856	7.7212	9.8074	43.3666	18.3009	1.5356	1.5354	0.0002	0.0782	0.0782	0.0000	1.4575	1.4572	0.0002	1.0003	0.0205	0.9798	0.9989	0.0202	0.9787	0.0014	0.0002	0.0012	0.2976	0.2534	0.0443	0.0330	0.0311	0.0019	0.2647	0.2223	0.0424	1.0135	0.6287	0.3849	0.3531	0.2866	0.0665	0.6605	0.3420	0.3184
0	8	0.3282	16	2	0	1	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0055	0.2886	0.0000	1.2295	1.0904	0.0682	0.0000	0.0004	0.0000	0.0090	0.0106	0.0000	0.0751	0.0799	0.0005	0.0000	0.0000	0.0000	1.6368	0.0367	4.2731	0.0610	0.0733	0.0069	2.5013	0.0049	5.1637	0.0004	70.7295	-0.0007	0.4914	7.7212	6.1986	43.3666	9.9918	0.0017	0.0017	0.0000	0.0017	0.0017	0.0000	0.0000	0.0000	0.0000	0.9988	0.0139	0.9848	0.0132	0.0129	0.0003	0.9856	0.0010	0.9846	0.1932	0.1642	0.0290	0.0232	0.0217	0.0014	0.1700	0.1424	0.0276	0.6102	0.3797	0.2305	0.2162	0.1764	0.0398	0.3940	0.2034	0.1907
0	9	0.3132	15	2	0	1	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.4378	0.8075	0.0063	1.2567	2.3945	0.0019	0.2678	0.4600	0.0087	0.0359	0.0425	0.0008	0.1184	0.1263	0.0006	0.0201	0.0242	0.0009	0.0820	0.0527	0.1335	0.0942	0.0527	0.3065	0.0749	0.0526	0.0990	0.0037	1.4454	-0.0012	0.0056	7.7212	2.3816	43.3666	13.9120	0.0030	0.0030	0.0000	0.0016	0.0016	0.0000	0.0014	0.0014	0.0000	0.0580	0.0237	0.0343	0.0246	0.0115	0.0131	0.0334	0.0122	0.0212	0.0831	0.0699	0.0132	0.0134	0.0126	0.0008	0.0697	0.0573	0.0123	0.7073	0.4505	0.2568	0.2615	0.2188	0.0427	0.4458	0.2317	0.2141
0	11	0.3132	15	2	1	1	0	1	1	1	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.1508	0.1166	0.0000	0.9773	0.8931	0.0000	0.0000	0.0000	0.0000	0.0046	0.0054	0.0000	0.0416	0.0439	0.0000	0.0000	0.0000	0.0000	0.0304	0.0463	0.0032	0.0425	0.0492	0.0097	0.0236	0.0436	0.0019	0.0000	0.0399	-0.0006	-0.0117	7.7212	10.8310	43.3666	9.4189	0.0015	0.0015	0.0000	0.0015	0.0015	0.0000	0.0000	0.0000	0.0000	0.0256	0.0247	0.0010	0.0130	0.0125	0.0005	0.0127	0.0122	0.0005	0.3291	0.2799	0.0491	0.0363	0.0344	0.0019	0.2927	0.2455	0.0472	0.8422	0.5329	0.3093	0.3048	0.2537	0.0511	0.5374	0.2792	0.2582
0	12	0.2924	14	2	0	1	0	1	0	1	0	2	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0697	0.0689	0.0004	0.8713	1.2027	0.0001	0.0030	0.0022	0.0005	0.1733	0.2030	0.0006	1.1335	1.2600	0.0003	0.0108	0.0126	0.0006	2.4869	2.9469	1.5749	1.3010	1.0477	2.3941	3.6233	5.7685	1.2649	0.0005	0.2696	-0.0088	-0.9628	7.7212	3.6997	43.3666	16.1376	0.0212	0.0212	0.0000	0.0201	0.0201	0.0000	0.0011	0.0011	0.0000	3.4173	2.6917	0.7256	0.8748	0.5719	0.3028	2.5425	2.1197	0.4228	0.1224	0.1044	0.0180	0.0177	0.0159	0.0018	0.1047	0.0885	0.0162	1.3741	0.9134	0.4607	0.6724	0.5459	0.1265	0.7017	0.3675	0.3342
0	14	0.2612	10	2	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0123	0.0198	0.0000	0.0869	0.1272	0.0002	0.0000	0.0000	0.0000	0.0133	0.0157	0.0000	0.0831	0.0872	0.0004	0.0000	0.0000	0.0000	1.0832	0.7887	1.5785	0.9568	0.6856	2.7593	1.1400	0.8662	1.4346	0.0002	1.1903	-0.0052	0.1870	7.7212	31.0092	43.3666	66.8192	0.0125	0.0125	0.0000	0.0125	0.0125	0.0000	0.0000	0.0000	0.0000	3.7892	1.7300	2.0592	1.0367	0.6456	0.3910	2.7525	1.0843	1.6682	0.9355	0.7962	0.1393	0.1500	0.1429	0.0071	0.7856	0.6533	0.1322	3.4980	2.1935	1.3045	1.0834	0.9417	0.1417	2.4146	1.2518	1.1628
0	28	0.3153	18	2	0	1	1	1	0	1	1	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	4.1678	3.8714	0.0041	2.8028	3.0147	0.0045	7.9970	6.9206	0.0052	0.0037	0.0043	0.0000	0.0046	0.0049	0.0000	0.0035	0.0041	0.0000	0.0009	0.0011	0.0004	0.0016	0.0016	0.0018	0.0004	0.0006	0.0002	0.0001	0.1965	-0.0001	-0.0001	7.7212	2.7003	43.3666	7.7721	0.0003	0.0003	0.0000	0.0001	0.0001	0.0000	0.0002	0.0002	0.0000	0.0004	0.0003	0.0001	0.0003	0.0002	0.0000	0.0001	0.0001	0.0000	0.0837	0.0718	0.0119	0.0147	0.0138	0.0009	0.0690	0.0581	0.0110	0.4516	0.3009	0.1507	0.1674	0.1490	0.0185	0.2842	0.1520	0.1322
0	41	0.1361	7	2	0	1	0	2	0	1	0	1	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0107	0.0132	0.0000	0.0392	0.0378	0.0001	0.0000	0.0000	0.0000	0.0152	0.0177	0.0000	0.1164	0.1215	0.0001	0.0000	0.0000	0.0000	1.4209	1.3441	1.5345	2.9708	3.2159	0.4961	1.0595	0.5860	1.5804	0.0000	0.7714	-0.0056	-0.2869	7.7212	28.6538	43.3666	65.0044	0.0135	0.0135	0.0000	0.0135	0.0135	0.0000	0.0000	0.0000	0.0000	4.8965	2.7642	2.1324	1.9356	1.9065	0.0291	2.9609	0.8577	2.1032	0.8861	0.7632	0.1230	0.1159	0.1110	0.0049	0.7702	0.6521	0.1181	3.4461	2.0565	1.3896	0.6516	0.5928	0.0587	2.7945	1.4637	1.3308
0	43	0.3212	20	2	0	1	1	1	0	1	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0003	0.0001	0.0020	0.0002	0.0002	0.0007	0.0006	0.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0206	0.0232	0.0156	0.0403	0.0463	0.0030	0.0088	0.0007	0.0178	4.3164	0.3597	0.0000	-0.0023	7.7212	5.9878	43.3666	6.1988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0101	0.0075	0.0027	0.0074	0.0073	0.0001	0.0027	0.0001	0.0026	0.1801	0.1547	0.0254	0.0235	0.0224	0.0012	0.1566	0.1323	0.0243	0.4924	0.3209	0.1715	0.1840	0.1585	0.0255	0.3084	0.1624	0.1460
0	49	0.3212	20	2	0	1	1	1	0	1	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0016	0.0000	0.0051	0.0052	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6402	0.0011	4.6355	0.0022	0.0022	0.0020	2.5808	0.0000	5.4303	4.3169	2287.3140	0.0000	0.5030	7.7212	4.0035	43.3666	11.5942	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9952	0.0004	0.9947	0.0005	0.0004	0.0001	0.9947	0.0000	0.9947	0.1225	0.1054	0.0171	0.0166	0.0159	0.0008	0.1059	0.0895	0.0164	0.6067	0.3921	0.2146	0.2213	0.1899	0.0314	0.3854	0.2022	0.1832
