branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
0	3	0.2316	15	2	1	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0007	0.0000	167.6453	0.0001	0.0001	0.0000	inf	0.0000	inf	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0042	0.0000	0.0132	0.0138	0.0000	0.0000	0.0000	0.0000	10.7826	0.0000	0.0000	-0.0000	3.5527	1.0022	3.5565	1.8747	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0501	0.0433	0.0068	0.0081	0.0077	0.0004	0.0421	0.0356	0.0065	0.0439	0.0239	0.0200	0.0075	0.0073	0.0003	0.0364	0.0167	0.0197
0	7	0.2316	15	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	189.4352	inf	271.7093	412.0130	inf	144.3734	0.0000	0.0000	0.0000	0.0006	0.0004	0.0020	0.0040	0.0024	0.0381	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.7512	inf	0.0000	0.0000	3.5527	2.9979	3.5565	0.0153	0.0001	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1097	0.0948	0.0149	0.0176	0.0168	0.0008	0.0921	0.0780	0.0141	0.0345	0.0189	0.0156	0.0060	0.0058	0.0002	0.0285	0.0131	0.0154
0	8	0.2267	14	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	30.4709	22.4608	96.6720	29.4997	28.2823	42.3674	11.5286	0.0000	40.9727	0.0001	0.0001	0.0001	0.0004	0.0003	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1303	0.1483	-0.0000	-0.0000	3.5527	0.0063	3.5565	1.2367	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0006	0.0001	0.0002	0.0002	0.0000	0.0004	0.0004	0.0001	0.0327	0.0214	0.0113	0.0103	0.0101	0.0001	0.0224	0.0113	0.0112
0	10	0.2148	13	2	1	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0016	0.0010	0.0000	0.0014	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0002	0.0000	0.0008	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0038	-0.0000	-0.0000	3.5527	3.0051	3.5565	2.8402	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1500	0.1311	0.0190	0.0249	0.0240	0.0008	0.1252	0.1070	0.0181	0.0825	0.0441	0.0384	0.0126	0.0123	0.0003	0.0699	0.0319	0.0380
0	12	0.1168	7	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	731.5695	453.3010	747.0077	8.2130	8.0812	0.0609	4533.4983	2369.4193	889.1847	1.5924	1.8165	0.0020	0.0825	0.0847	0.0000	1.8170	2.1075	0.0021	0.0022	0.0040	0.0000	0.0100	0.0105	0.0000	0.0004	0.0009	0.0000	0.0002	0.0006	-0.3980	-0.0005	3.5527	22.8620	3.5565	9.1907	1.5393	1.5391	0.0002	0.0103	0.0103	0.0000	1.5290	1.5287	0.0002	0.0009	0.0009	0.0000	0.0008	0.0008	0.0000	0.0001	0.0001	0.0000	0.9667	0.8473	0.1194	0.1252	0.1219	0.0033	0.8415	0.7254	0.1161	0.4293	0.2330	0.1962	0.0790	0.0757	0.0033	0.3502	0.1573	0.1929
0	24	0.2308	14	2	0	1	1	0	0	0	1	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	0.0000	inf	inf	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0012	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		-0.0000	0.0000	3.5527	1.0001	3.5565	2.0034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0489	0.0427	0.0062	0.0085	0.0083	0.0003	0.0404	0.0344	0.0060	0.0412	0.0221	0.0191	0.0077	0.0073	0.0005	0.0335	0.0149	0.0186
0	39	0.1115	7	2	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0042	0.0083	0.0000	0.0339	0.0347	0.0000	0.0000	0.0000	0.0000		0.0018	0.0000	-0.0002	3.5527	2.6857	3.5565	4.0062	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.1029	0.0899	0.0130	0.0140	0.0136	0.0004	0.0889	0.0764	0.0126	0.0805	0.0412	0.0393	0.0100	0.0098	0.0002	0.0704	0.0314	0.0391
0	41	0.2142	16	2	0	1	1	0	0	0	1	2	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0041	0.0077	0.0000	0.0234	0.0245	0.0001	0.0000	0.0000	0.0000		0.0005	0.0000	-0.0002	3.5527	5.0055	3.5565	3.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	0.2480	0.2174	0.0306	0.0458	0.0444	0.0015	0.2021	0.1730	0.0291	0.1066	0.0571	0.0494	0.0188	0.0179	0.0009	0.0878	0.0392	0.0486
0	45	0.2102	17	2	0	1	1	0	0	0	1	2	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.1075	0.0164	1677.7792	0.1046	0.0258	1108.8505	0.2135	0.0000	0.8149	0.0003	0.0001	0.0016	0.0015	0.0004	0.0340	0.0000	0.0000	0.0000	0.0025	0.0046	0.0000	0.0142	0.0148	0.0000	0.0000	0.0000	0.0000	3.0009	0.0002	0.0000	-0.0001	3.5527	3.0015	3.5565	3.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.1503	0.1315	0.0188	0.0270	0.0261	0.0009	0.1233	0.1054	0.0179	0.0808	0.0432	0.0376	0.0141	0.0135	0.0007	0.0666	0.0297	0.0369
0	46	0.2102	16	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0606	0.0386	0.2542	0.0277	0.0336	0.0208	0.1330	0.0000	0.4666	0.0001	0.0000	0.0003	0.0001	0.0001	0.0008	0.0000	0.0000	0.0002	0.0010	0.0009	0.0012	0.0035	0.0023	0.0390	0.0003	0.0000	0.0005	0.9996	1.0000	0.0000	0.0000	3.5527	0.0033	3.5565	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0002	0.0000	0.0001	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000
