branch_id_1	branch_id_2	branch_id_3	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	N_sub_3	S_sub_1	S_sub_2	S_sub_3	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
6	63	81	0.1893	18	3	0	1	0	1	0	1	0	1	1	2	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0003	0.0000	0.0255	0.0000	0.0000	0.0000	0.0003	0.0000	0.0250	0.0005	0.0000	0.0211	0.0000	0.0000	0.0000	0.0007	0.0000	0.0221	1.5749	1.7132	0.8272	0.1654	0.1670	0.1082	2.4780	2.9757	0.8828	12489.5649	0.0893	0.0000	-0.1310	10.5512	32.2791	36.7423	17.0442	27.1817	50.5141	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	0.0001	0.0000	0.0001	0.1559	0.1432	0.0128	0.0064	0.0063	0.0001	0.1495	0.1369	0.0127	0.1292	0.1259	0.0033	0.0335	0.0333	0.0002	0.0958	0.0926	0.0032	0.0990	0.0836	0.0155	0.0387	0.0376	0.0011	0.0603	0.0460	0.0143
6	63	92	0.0731	7	3	0	1	0	0	0	1	0	2	2	3	2	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	1.6213	1.6349	0.1393	1.8095	1.7882	0.6212	1.9705	4.4099	0.1423	0.1729	0.1833	0.0110	0.3593	0.3649	0.0000	0.0699	0.0753	0.0121	0.1067	0.1121	0.0790	0.1985	0.2041	0.0000	0.0355	0.0171	0.0850	0.0038	0.1386	-0.0115	-0.0041	10.5512	32.2791	14.2810	17.0442	27.1817	11.8763	0.0128	0.0127	0.0000	0.0095	0.0095	0.0000	0.0033	0.0033	0.0000	0.0051	0.0044	0.0006	0.0041	0.0041	0.0000	0.0009	0.0003	0.0006	0.0739	0.0695	0.0044	0.0263	0.0259	0.0004	0.0476	0.0436	0.0040	0.0474	0.0396	0.0078	0.0207	0.0202	0.0006	0.0267	0.0195	0.0072
30	63	92	0.0806	6	3	0	1	0	0	0	0	0	2	2	3	2	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	49.8497	0.0683	11795.5641	0.0326	0.0305	25784.3464	97.9687	0.1165	10847.3192	23.1885	0.0377	804.3600	0.0257	0.0251	0.2829	26.5321	0.0396	813.2655	0.4652	0.5514	0.0682	0.7882	0.8236	0.0000	0.2708	0.3396	0.0750	632.5437	0.0269	0.2226	-0.0394	23.8404	32.2791	14.2810	36.4685	27.1817	11.8763	2.4085	0.0038	2.4047	0.0003	0.0003	0.0000	2.4082	0.0035	2.4047	0.0440	0.0429	0.0012	0.0280	0.0280	0.0000	0.0160	0.0148	0.0012	0.1039	0.1009	0.0030	0.0131	0.0131	0.0000	0.0908	0.0878	0.0030	0.0946	0.0777	0.0169	0.0355	0.0340	0.0015	0.0591	0.0437	0.0154
30	72	92	0.0806	7	3	0	1	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	66.2023	18.0802	3469.3258	11.9766	6.4671	340160.6235	101.2177	25.5915	3318.7213	51.0730	16.0395	1225.9709	12.2445	6.7327	1761.8097	56.9271	17.4858	1218.2469	0.7715	0.8871	0.3534	1.0224	1.0411	0.0052	0.5624	0.6833	0.3671	2.2792	0.1102	-0.4019	-0.0287	23.8404	11.1050	14.2810	36.4685	10.2409	11.8763	1.9049	0.5809	1.3240	0.0598	0.0328	0.0270	1.8451	0.5481	1.2969	0.0348	0.0314	0.0035	0.0210	0.0210	0.0000	0.0138	0.0104	0.0035	0.0373	0.0362	0.0011	0.0049	0.0049	0.0000	0.0324	0.0313	0.0011	0.0451	0.0354	0.0098	0.0205	0.0201	0.0004	0.0246	0.0152	0.0094
31	63	81	0.1663	12	3	0	1	0	1	0	1	0	2	1	2	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	1.5971	0.1956	8.7610	0.3118	0.4215	0.0000	1.0173	0.0000	7.6878	6.1335	0.0110	240.7235	0.0373	0.0374	0.0000	8.5818	0.0000	246.5853	3.8403	0.0560	27.4766	0.1196	0.0887	0.9276	8.4360	0.0034	32.0747	573.0857	78.5065	0.0618	0.0260	7.6238	32.2791	36.7423	8.0606	27.1817	50.5141	0.6704	0.0012	0.6692	0.0012	0.0012	0.0000	0.6692	0.0000	0.6692	0.3981	0.0050	0.3931	0.0069	0.0049	0.0020	0.3913	0.0001	0.3912	0.1093	0.1065	0.0028	0.0313	0.0313	0.0001	0.0780	0.0753	0.0027	0.1037	0.0894	0.0143	0.0573	0.0552	0.0021	0.0464	0.0342	0.0122
31	63	92	0.0603	5	3	0	1	0	0	0	1	0	3	2	3	2	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	19.3046	0.0260	10287.1644	0.0696	0.0659	0.0000	108.4795	0.0024	8010.5781	18.3904	0.0286	705.9245	0.0978	0.0979	0.0000	25.5137	0.0007	713.5867	0.9526	1.1019	0.0686	1.4041	1.4847	0.0004	0.2352	0.2942	0.0891	658.4497	0.0105	0.0791	-0.0539	7.6238	32.2791	14.2810	8.0606	27.1817	11.8763	0.8551	0.0013	0.8538	0.0013	0.0013	0.0000	0.8538	0.0000	0.8538	0.0591	0.0585	0.0006	0.0535	0.0535	0.0000	0.0056	0.0050	0.0006	0.0465	0.0453	0.0012	0.0130	0.0130	0.0000	0.0335	0.0323	0.0012	0.0620	0.0531	0.0090	0.0381	0.0360	0.0021	0.0240	0.0171	0.0069
55	63	81	0.1823	13	3	0	0	0	2	0	0	0	1	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	559.2474	2.0765	2792269.7550	6.0114	3.7780	inf	98747.2916	0.0000	2800014.9856	1.5203	0.0070	54.9295	0.0735	0.0476	3.5197	1.7645	0.0000	57.0169	0.0027	0.0034	0.0000	0.0122	0.0126	0.0000	0.0000	0.0000	0.0000	221.6143	0.0014	0.0515	-0.0004	37.3244	32.2791	36.7423	23.6746	27.1817	50.5141	0.5759	0.0026	0.5733	0.0040	0.0026	0.0014	0.5719	0.0000	0.5719	0.0004	0.0004	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	0.3788	0.3684	0.0104	0.0547	0.0543	0.0004	0.3241	0.3141	0.0100	0.1650	0.1325	0.0326	0.0365	0.0354	0.0011	0.1285	0.0971	0.0315
63	72	92	0.0603	5	3	0	0	0	0	0	0	0	3	2	3	2	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	1.2563	1.7038	3.9810	3.3564	2.0331	60666.0615	0.7506	1.7393	3.3813	21.7091	2.0155	367.7366	4.0068	2.5830	108.9202	28.5010	1.7847	386.9016	17.2804	1.1830	92.3729	1.1938	1.2705	0.0018	37.9699	1.0261	114.4250	10.3838	16.7393	0.0089	0.0218	32.2791	11.1050	14.2810	27.1817	10.2409	11.8763	1.4515	0.1275	1.3240	0.0743	0.0472	0.0270	1.3772	0.0803	1.2970	1.0187	0.0574	0.9613	0.0396	0.0396	0.0000	0.9792	0.0178	0.9613	0.0669	0.0633	0.0036	0.0185	0.0183	0.0002	0.0483	0.0450	0.0034	0.0590	0.0485	0.0104	0.0332	0.0312	0.0020	0.0258	0.0174	0.0084
63	75	81	0.1663	12	3	0	1	0	1	0	0	0	2	1	2	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	26206.6412	16.6426	inf	539.0503	23.1825	inf	32319685.5565	0.0000	inf	2.6200	0.0021	91.4864	0.2779	0.0124	36.5242	3.0829	0.0000	93.8922	0.0001	0.0001	0.0000	0.0005	0.0005	0.0000	0.0000	0.0000	0.0000	1292.4250	0.0000	0.0552	-0.0000	32.2791	21.9057	36.7423	27.1817	27.4981	50.5141	0.5922	0.0005	0.5917	0.0104	0.0005	0.0099	0.5818	0.0000	0.5818	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2260	0.2195	0.0065	0.0373	0.0370	0.0003	0.1887	0.1825	0.0062	0.1300	0.1037	0.0263	0.0252	0.0243	0.0008	0.1048	0.0794	0.0254
63	75	92	0.1271	9	3	0	1	0	0	0	0	0	3	2	3	2	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0486	0.0113	38744.9205	0.0203	0.0195	0.0000	0.4283	0.0156	95616.9481	0.0450	0.0128	1.1390	0.0599	0.0603	0.0000	0.0417	0.0020	1.1836	0.9248	1.1282	0.0000	2.9553	3.0881	0.0003	0.0973	0.1274	0.0000	2.6297	0.0000	-0.0008	-0.0476	32.2791	21.9057	14.2810	27.1817	27.4981	11.8763	0.0044	0.0012	0.0032	0.0010	0.0010	0.0000	0.0033	0.0002	0.0032	0.0516	0.0516	0.0000	0.0477	0.0477	0.0000	0.0039	0.0039	0.0000	0.0970	0.0942	0.0028	0.0175	0.0174	0.0001	0.0794	0.0768	0.0027	0.0558	0.0457	0.0101	0.0161	0.0155	0.0007	0.0396	0.0303	0.0094
