branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
0	2	0.3324	16	2	1	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0007	0.0000	0.3889	0.0010	0.0000	inf	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	inf	0.0065	0.0000	-0.0000	5.7986	2.9972	15.4198	1.0469	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1778	0.1581	0.0197	0.0311	0.0293	0.0019	0.1467	0.1288	0.0179	0.1544	0.0907	0.0637	0.0389	0.0349	0.0041	0.1154	0.0558	0.0596
0	5	0.3356	17	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	325.9838	229.5906	0.0000	214.4327	230.1547	0.0000	0.0000	0.0000	0.0000	0.0799	0.0904	0.0000	0.1589	0.1804	0.0000	0.0000	0.0000	0.0000	0.0002	0.0004	0.0000	0.0007	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0024	-0.0000	-0.0000	5.7986	0.0041	15.4198	2.7141	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0004	0.0001	0.0003	0.0002	0.0000	0.0002	0.0002	0.0000	0.1498	0.0931	0.0568	0.0495	0.0467	0.0028	0.1003	0.0463	0.0540
0	7	0.3356	17	2	1	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	4.2431	4.7722	0.0000	0.0002	0.0003	0.0000	5.1584	5.8748	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		-0.3661	0.0000	5.7986	4.0008	15.4198	0.9673	0.9996	0.9996	0.0000	0.0000	0.0000	0.0000	0.9996	0.9996	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2356	0.2095	0.0261	0.0418	0.0393	0.0025	0.1938	0.1701	0.0236	0.2297	0.1387	0.0910	0.0688	0.0638	0.0051	0.1609	0.0750	0.0859
0	8	0.3324	16	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	1.1780	1.1660	0.0026	0.0037	0.0000	inf	1.1588	0.9995	0.0000	0.0007	0.0007	0.0000	0.0000	0.0000	0.0000	0.0008	0.0009	0.0000	0.0006	0.0006	0.0004	0.0002	0.0002	0.0000	0.0007	0.0009	0.0005	0.0002	0.4354	-0.0000	-0.0000	5.7986	1.0062	15.4198	0.4084	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0604	0.0537	0.0067	0.0107	0.0101	0.0007	0.0497	0.0436	0.0061	0.0591	0.0362	0.0229	0.0160	0.0146	0.0014	0.0431	0.0216	0.0214
0	9	0.3194	15	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	6.1915	0.0004	1655.7031	5.9733	0.0006	788.1933	0.2060	0.0000	1.7497	0.0003	0.0000	0.0033	0.0013	0.0000	0.0257	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	10165.4715	0.0155	0.0000	-0.0000	5.7986	2.9970	15.4198	2.0105	0.0001	0.0000	0.0001	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2131	0.1910	0.0220	0.0536	0.0508	0.0028	0.1595	0.1402	0.0192	0.1933	0.1117	0.0816	0.0467	0.0424	0.0044	0.1465	0.0693	0.0772
0	11	0.1935	10	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	2.4574	2.6153	0.0026	0.0297	0.0280	0.3999	3.0358	3.4316	0.0001	0.5487	0.6164	0.0005	0.0075	0.0075	0.0067	0.6530	0.7430	0.0000	0.2233	0.2357	0.2076	0.2527	0.2690	0.0167	0.2151	0.2165	0.2139	0.0001	0.6998	-0.1544	-0.0274	5.7986	12.8381	15.4198	12.0201	0.4216	0.4215	0.0000	0.0009	0.0009	0.0000	0.4207	0.4207	0.0000	0.2297	0.1351	0.0946	0.0566	0.0563	0.0002	0.1731	0.0788	0.0943	0.7684	0.6839	0.0845	0.1242	0.1177	0.0065	0.6442	0.5662	0.0780	1.0287	0.5733	0.4554	0.2239	0.2094	0.0145	0.8048	0.3639	0.4409
0	12	0.1813	9	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	4.0166	3.0433	0.3499	6.0221	5.7798	55.0823	3.6870	2.4406	0.0267	1.5004	1.6722	0.0330	3.6814	3.8099	0.4141	0.9408	1.0711	0.0027	0.3736	0.5495	0.0943	0.6113	0.6592	0.0075	0.2552	0.4389	0.1001	0.0023	0.1081	-0.1776	-0.0784	5.7986	4.5613	15.4198	2.9077	0.4881	0.4869	0.0011	0.2445	0.2435	0.0010	0.2435	0.2435	0.0001	0.1809	0.1632	0.0176	0.0984	0.0983	0.0001	0.0825	0.0649	0.0176	0.3253	0.2912	0.0341	0.0664	0.0639	0.0025	0.2589	0.2273	0.0316	0.4842	0.2971	0.1871	0.1609	0.1491	0.0118	0.3232	0.1479	0.1753
0	23	0.3001	15	2	0	1	1	0	0	0	1	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	6.3547	6.0038	0.0018	14.5190	13.3561	0.0000	1.0778	1.2723	0.0018	0.0038	0.0043	0.0000	0.0131	0.0136	0.0000	0.0005	0.0006	0.0000	0.0006	0.0007	0.0004	0.0009	0.0010	0.0001	0.0005	0.0005	0.0005	0.0000	0.4402	-0.0002	-0.0000	5.7986	1.9325	15.4198	1.0133	0.0006	0.0006	0.0000	0.0005	0.0005	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1574	0.1390	0.0184	0.0412	0.0394	0.0017	0.1162	0.0996	0.0166	0.1319	0.0764	0.0555	0.0396	0.0346	0.0050	0.0923	0.0418	0.0505
0	40	0.1890	9	2	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	1.8117	1912.5261	0.0053	6882.8606	6992.6167	434.1684	0.0001	0.0000	0.0002	4.5507	5.1475	0.0321	45.4097	48.3822	0.5738	0.0002	0.0000	0.0016	2.5119	0.0027	6.1068	0.0066	0.0069	0.0013	3.3163	0.0000	6.3214	0.0008	1583.6899	-0.3656	0.4620	5.7986	4.0103	15.4198	4.5911	1.0005	0.9996	0.0008	1.0004	0.9996	0.0008	0.0000	0.0000	0.0000	0.9863	0.0006	0.9856	0.0006	0.0006	0.0000	0.9856	0.0000	0.9856	0.2198	0.1942	0.0257	0.0220	0.0207	0.0014	0.1978	0.1735	0.0243	0.3926	0.2312	0.1614	0.0954	0.0899	0.0055	0.2972	0.1413	0.1559
0	42	0.1329	3	2	0	1	1	0	0	0	1	1	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	5.7986	0.0000	15.4198	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	43	0.0705	2	2	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.1241	3.0733	0.0000	4.6113	5.6890	0.0000	0.0138	39.1873	0.0000	0.1987	0.2337	0.0000	0.7306	0.9059	0.0000	0.0285	0.0330	0.0000	1.6012	0.0760	3.2093	0.1584	0.1592	0.0392	2.0701	0.0008	3.2199	0.0000	40.0289	-0.0462	1.0429	5.7986	8.1474	15.4198	15.4660	0.1262	0.1262	0.0000	0.1125	0.1125	0.0000	0.0137	0.0137	0.0000	2.3455	0.0572	2.2883	0.0569	0.0568	0.0001	2.2885	0.0003	2.2882	0.6352	0.5402	0.0950	0.1540	0.1242	0.0298	0.4812	0.4160	0.0652	1.4649	0.7518	0.7130	0.3593	0.3569	0.0024	1.1055	0.3949	0.7106
0	47	0.3057	19	2	0	1	1	0	0	0	1	1	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	87.0615	138.3822	0.0000	217.6203	274.6959	0.0000	0.0011	0.5362	0.0000	0.0043	0.0049	0.0000	0.0239	0.0253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0001	0.0003	0.0000	0.0000	0.0001	0.0000	1.4883	-0.0006	0.0000	5.7986	6.0091	15.4198	6.7342	0.0015	0.0015	0.0000	0.0015	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3482	0.3097	0.0385	0.0632	0.0597	0.0036	0.2850	0.2501	0.0349	0.4943	0.2809	0.2135	0.1176	0.1072	0.0104	0.3767	0.1736	0.2031
0	48	0.2980	18	2	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0716	0.0900	0.0062	0.0097	0.0095	0.0000	0.1330	37.5979	0.0065	0.0092	0.0102	0.0009	0.0023	0.0024	0.0000	0.0115	0.0131	0.0010	0.1292	0.1137	0.1520	0.2344	0.2481	0.0198	0.0865	0.0003	0.1579	0.0109	0.9152	-0.0003	-0.0016	5.7986	1.3624	15.4198	3.4977	0.0009	0.0009	0.0000	0.0001	0.0001	0.0000	0.0009	0.0009	0.0000	0.0309	0.0161	0.0148	0.0162	0.0161	0.0001	0.0147	0.0000	0.0147	0.1002	0.0896	0.0106	0.0245	0.0237	0.0008	0.0757	0.0659	0.0097	0.2392	0.1420	0.0972	0.0691	0.0649	0.0042	0.1701	0.0771	0.0930
0	49	0.2980	18	2	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	2.7226	158.8304	0.0000	249.7786	237.9420	0.0000	0.3283	1326896.3095	0.0000	2.2485	2.5236	0.0000	9.9001	10.4086	0.0000	0.3473	0.3964	0.0000	0.8258	0.0159	1.8841	0.0396	0.0437	0.0014	1.0579	0.0000	1.9853	0.0000	90.7561	-0.2901	0.3283	5.7986	5.7463	15.4198	18.6403	0.7921	0.7921	0.0000	0.6941	0.6941	0.0000	0.0980	0.0980	0.0000	0.7165	0.0078	0.7087	0.0078	0.0078	0.0000	0.7087	0.0000	0.7087	0.3523	0.3139	0.0384	0.0701	0.0667	0.0034	0.2822	0.2472	0.0350	0.8676	0.4915	0.3761	0.1977	0.1785	0.0192	0.6699	0.3130	0.3570
