branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
0	1	0.4503	15	2	1	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0002	0.0000	0.0005	0.0001	0.0000	0.0022	0.0001	0.0000	0.0004	0.0000	0.0000	0.0003	0.0000	0.0000	0.0001	0.0000	0.0000	0.0003	0.1958	0.0346	0.5491	0.0544	0.0541	0.0560	0.3115	0.0081	0.6521	75.2042	7.2292	0.0000	0.0327	7.4015	4.0029	12.0904	12.4930	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0788	0.0096	0.0693	0.0099	0.0086	0.0012	0.0690	0.0009	0.0680	0.2240	0.1983	0.0257	0.0734	0.0706	0.0028	0.1506	0.1277	0.0229	0.4027	0.2765	0.1261	0.1812	0.1594	0.0218	0.2215	0.1171	0.1043
0	5	0.4502	14	2	1	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	6.0403	8.9821	0.0000	0.3222	0.3636	0.0000	11.1151	23.0284	0.0000	0.0000	0.0000	-0.0000	-0.4195	7.4015	0.0009	12.0904	5.1758	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9054	0.9054	0.0000	0.0227	0.0227	0.0000	0.8827	0.8827	0.0000	0.0003	0.0003	0.0000	0.0002	0.0002	0.0000	0.0002	0.0001	0.0000	0.1499	0.1008	0.0491	0.0705	0.0625	0.0080	0.0794	0.0383	0.0411
0	17	0.4805	15	2	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0174	0.0130	0.2329	0.0177	0.0162	1.0400	0.0344	0.0196	0.1301	0.0012	0.0014	0.0000	0.0024	0.0025	0.0000	0.0006	0.0007	0.0000	0.0706	0.1068	0.0000	0.1340	0.1536	0.0000	0.0177	0.0366	0.0000	0.0007	0.0002	-0.0000	-0.0034	7.4015	1.0030	12.0904	3.2680	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0073	0.0073	0.0000	0.0063	0.0063	0.0000	0.0010	0.0010	0.0000	0.0610	0.0540	0.0069	0.0215	0.0205	0.0010	0.0395	0.0335	0.0060	0.1039	0.0687	0.0353	0.0472	0.0412	0.0060	0.0567	0.0275	0.0292
0	30	0.2783	6	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	7.1654	9.5784	0.0003	15.7568	15.1964	0.0025	0.0276	0.0942	0.0001	1.4421	1.6270	0.0001	3.3934	3.6321	0.0002	0.0052	0.0061	0.0000	0.2013	0.1699	0.2626	0.2154	0.2390	0.0881	0.1886	0.0647	0.3115	0.0000	0.7912	-0.1530	-0.0043	7.4015	3.1324	12.0904	19.5998	0.3314	0.3314	0.0000	0.3307	0.3307	0.0000	0.0007	0.0007	0.0000	0.1997	0.1115	0.0882	0.1011	0.0946	0.0065	0.0986	0.0169	0.0817	0.2298	0.2037	0.0261	0.0975	0.0911	0.0064	0.1324	0.1126	0.0197	0.9924	0.6564	0.3360	0.4696	0.3960	0.0736	0.5229	0.2604	0.2624
0	34	0.2629	5	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.3724	0.5845	0.0092	0.5682	0.7652	0.0160	0.1303	0.3314	0.0023	0.1320	0.1471	0.0052	0.2198	0.2362	0.0128	0.0416	0.0482	0.0011	0.3543	0.2516	0.5637	0.3869	0.3087	0.8024	0.3193	0.1456	0.4843	0.0042	1.0992	-0.0091	0.0166	7.4015	1.5040	12.0904	10.4111	0.0198	0.0197	0.0001	0.0167	0.0167	0.0001	0.0031	0.0031	0.0000	0.2755	0.1312	0.1443	0.1559	0.1047	0.0512	0.1196	0.0265	0.0930	0.1501	0.1341	0.0160	0.0761	0.0705	0.0056	0.0740	0.0636	0.0104	0.7774	0.5215	0.2559	0.4030	0.3392	0.0639	0.3744	0.1824	0.1921
0	39	0.4389	13	2	0	1	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.0002	0.0029	0.0000	0.0050	0.0047	0.0024	0.0000	0.0014	0.0000	0.0004	0.0004	0.0000	0.0009	0.0010	0.0001	0.0001	0.0001	0.0000	1.5775	0.1457	4.4192	0.1876	0.2094	0.0423	2.6005	0.0663	5.2844	0.0119	15.2867	-0.0001	0.4641	7.4015	6.9763	12.0904	19.8911	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.9764	0.0599	0.9164	0.0492	0.0478	0.0014	0.9271	0.0122	0.9150	0.4107	0.3640	0.0467	0.1409	0.1348	0.0062	0.2697	0.2292	0.0405	0.6190	0.4116	0.2074	0.2624	0.2282	0.0342	0.3565	0.1834	0.1731
0	45	0.2629	5	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	19.3500	15.0129	0.1289	17.6218	16.0365	0.0343	139.3932	135.1217	0.1690	1.1488	1.2955	0.0005	1.8868	2.0285	0.0001	0.5969	0.6987	0.0006	0.0594	0.0863	0.0036	0.1071	0.1265	0.0041	0.0043	0.0052	0.0035	0.0000	0.0203	-0.1336	-0.0186	7.4015	3.3719	12.0904	5.3764	0.2893	0.2893	0.0000	0.2033	0.2033	0.0000	0.0860	0.0860	0.0000	0.0419	0.0411	0.0008	0.0405	0.0403	0.0002	0.0014	0.0008	0.0006	0.2519	0.2233	0.0285	0.1077	0.1002	0.0075	0.1441	0.1231	0.0210	0.7063	0.4763	0.2300	0.3785	0.3185	0.0601	0.3278	0.1578	0.1700
0	46	0.1399	4	2	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.9388	1.0453	0.0437	0.3619	0.4826	0.0047	1.2618	1.1073	0.0801	0.8113	0.9800	0.0322	0.2293	0.2781	0.0048	1.2958	1.5639	0.0550	0.8642	0.9376	0.7363	0.6338	0.5762	1.0252	1.0270	1.4124	0.6870	0.0071	0.4503	-0.5157	-0.3390	7.4015	14.4923	12.0904	50.8489	1.1343	1.1263	0.0080	0.1457	0.1451	0.0005	0.9886	0.9812	0.0075	2.2183	1.5295	0.6887	0.6735	0.5338	0.1396	1.5448	0.9957	0.5491	1.3981	1.1493	0.2488	0.6351	0.5219	0.1133	0.7629	0.6274	0.1355	2.5669	1.6314	0.9355	1.0626	0.9264	0.1362	1.5042	0.7050	0.7993
0	50	0.4502	14	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.3722	0.2244	1.3129	0.3735	0.3777	0.1766	0.3860	0.0036	1.6153	0.0206	0.0119	0.0776	0.0232	0.0246	0.0055	0.0184	0.0001	0.1026	0.0553	0.0531	0.0591	0.0620	0.0651	0.0310	0.0477	0.0184	0.0635	0.9858	0.6104	0.0000	-0.0002	7.4015	0.0061	12.0904	0.9797	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0028	0.0017	0.0011	0.0016	0.0016	0.0001	0.0011	0.0002	0.0010	0.0006	0.0005	0.0001	0.0003	0.0003	0.0000	0.0003	0.0003	0.0001	0.0503	0.0325	0.0178	0.0266	0.0242	0.0024	0.0237	0.0083	0.0154
0	51	0.4323	13	2	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	0.2578	0.1538	2.4709	0.3003	0.1980	16.0126	0.1883	0.0963	1.5554	0.0060	0.0047	0.0160	0.0033	0.0027	0.0157	0.0076	0.0060	0.0161	0.0232	0.0306	0.0065	0.0110	0.0137	0.0010	0.0402	0.0625	0.0104	0.4332	0.0935	-0.0003	-0.0047	7.4015	3.9844	12.0904	6.3300	0.0016	0.0011	0.0005	0.0003	0.0003	0.0001	0.0013	0.0009	0.0004	0.0123	0.0113	0.0011	0.0034	0.0033	0.0001	0.0090	0.0080	0.0010	0.2670	0.2369	0.0301	0.0982	0.0939	0.0043	0.1688	0.1430	0.0258	0.5310	0.3684	0.1626	0.3076	0.2407	0.0670	0.2234	0.1277	0.0957
